program,funder_id,amount,eligibility,applicant_for_us,opens,deadline,decision,link,verified
Community Enhancement Program (CEP),county,Discretionary,Tax-exempt + CA AG + SOS current; per district,TAS -> D3 (Nov 6) and D2 (cohort),rolling,none (rolling),ongoing,https://www.sandiegocounty.gov/content/sdc/cao/edga/grants/community-enhancement.html,Y
Neighborhood Reinvestment Program (NRP),county,Discretionary; capital/equipment only,Same as CEP,TAS (equipment),rolling,none (rolling),ongoing,https://www.sandiegocounty.gov/content/sdc/cao/edga/grants/neighborhood-reinvestment.html,Y
San Diego Creative Industry Survey,prebys,Entry to impact-investment pipeline (not a grant),For-profit creative businesses in SD County seeking capital within 18 months,creatives.exchange (company),open,2026-09-30,,https://www.prebysfdn.org/making-a-difference/san-diego-creative-industry-survey,Y
Sycuan Cares sponsorship,sycuan,Sponsorship,Local nonprofits incl. arts; mail + W-9; 3-4 wks,TAS (Nov 6),rolling,rolling,3-4 weeks,https://www.sycuan.com/sycuan-cares/,Y
Viejas community giving,viejas,Sponsorship,501c3; excludes most religious groups; 60 days lead,TAS (secular framing),rolling,rolling,,https://viejasbandofkumeyaay.org/viejas-community/community-support/,Y
William Male Foundation artist grants,wmf,"$1,000-$5,000","Individual artists 18+, SD County",Garden creatives,rolling,Jun 30 / Dec 31 cut-offs,Oct 1 / Apr 1,https://williammalefoundation.org/apply,Y
Parker Foundation grants,parker,Family-foundation checks,501c3; online application ongoing,TAS,rolling,rolling,,https://theparkerfoundation.org,⚠
Airport Arts Program — Temporary Exhibitions,airport,Exhibition,"Regional artists, institutions, community groups",Garden artists; TAS,rolling,rolling,,https://www.san.org/the-arts-program/art-opportunities/,⚠
First Friday performance slots,liberty,Stage/space,Application,The Garden,rolling,rolling,,https://ntcfoundation.org/friday-night-liberty-application,Y
Barnabas Group SD presentation,barnabas,Patron introductions,Vetted Christian ministries,Abiding Practice + platform,quarterly,quarterly,,https://www.barnabasgroupsd.org,Y
Creative Communities San Diego (CCSD) FY2028,city_ca,Min $5k; 5-43% of project budget,County-HQ nonprofit or fiscally sponsored; project in City,TAS or sponsored Garden project,~2026-10 (est.),~2026-11-15 (est.),~2027-06,https://www.sandiego.gov/economic-development/cultural-affairs/funding/apply,⚠
Organizational Support Program (OSP) FY2028,city_ca,2-22% of operating income,City-HQ 501c3; 2 yrs own board; no fiscal sponsor; 1:1 match,Not yet,~2026-10 (est.),~2026-11-15 (est.),~2027-06,https://www.sandiego.gov/economic-development/cultural-affairs/funding/osp,⚠
Makers Arcade Holiday Fair vendor slots,makers,Booth,Open interest list,Garden makers,open,2026-12-12,,https://makersarcade.com,Y
Las Patronas grants,laspatronas,$20k+ major; smaller,501c3 3+ yrs; capital only,Not until 2027-28,winter/summer,⚠,spring gala,https://www.laspatronas.org,⚠
2027 Prebys Leadership Awards (announcement),prebys,$100k x 5 individuals,Closed Jul 23 2026,Watch for Haley,2026-06-05,2026-07-23,2027-02,https://www.prebysfdn.org/grants/2027-prebys-leadership-awards,Y
NEA Grants for Arts Projects FY28 (GAP1),nea,$10k-$100k,5-yr programming history; no fiscal sponsors; >= $20k expenses,Nobody (not viable),⚠,~2027-02 (est.),~2027-11,https://www.arts.gov/grants/grants-for-arts-projects,⚠
Carlsbad Charitable Foundation arts LOI,carlsbad_cf,$15k-$40k,501c3 or fiscally sponsored; serves Carlsbad,TAS/AP if Carlsbad program,⚠,~2027-03-02 (est.),,https://carlsbadcharitablefoundation.org,⚠
CAC Impact Projects / General Operating / Arts Education,cac,<=$25k / <=$30k / <=$25k,501c3 or fiscally sponsored; revenue caps,TAS (Impact Projects),~2027-03 (est.),~2027-05 (est.),~2027-08,https://arts.ca.gov/grant_program/,⚠
"CAC Individual Artists Fellowship, Region 8",cac,$5k / $10k / $50k,"Individual artists, SD/Imperial residents",Garden creatives,~2027-03 (est.),~2027-04-30 (est.),,https://www.sandiego.gov/economic-development/cultural-affairs/funding/iaf,⚠
Encinitas civic-space exhibition call,encinitas,Exhibition,Artists,Garden visual artists,~2027-04,,,https://encinitasca.gov/government/departments/parks-recreation-cultural-arts/arts-opportunities,⚠
Picerne Artist Outreach Project,picerne,$15k + materials,Artists 55+; North SD County; nonprofit partner,Elder Garden artist + TAS,~2027-01 (est.),~2027-04-17 (est.),~2027-05,https://picernefoundation.org/programs/artist-outreach-project/,⚠
